,Primary Product Information,,,,,,,,,General Filters,,,,Specifications,,,,
Delete,Product Name,Sku,Short Description,Meta Title,Meta Description,Meta Keywords,Image,Sort Order,Status,Cinema Chain,Screen Recomend,Audience Class,Tier Preference,Seats,Screen,Rank,Total Screen,Google Map Location
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Only string value,Only string value,Only string value,Only string value,"Image name exact as per the file you attache, Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.",Only number value,"(Inactive = 0, Active = 1)","Enter String (Master), Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter String (Master), Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter String (Master), Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter String (Master), Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter Number, Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter String, Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter Number (Master), Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter Number, Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field.","Enter String, Keeping blank will not update value, Enter BLANKTHIS to remove existing value from field."
* Required,* Required,* Required,---,---,---,---,* Required,---,---,---,---,---,---,---,---,---,---,---
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,"Located on Guwahati, Christian Basti, Guwahati, Assam","Advertising in Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam | Excellent Publicity","Advertising Rate for Pvr City Centre Mall - Guwahati, Assam",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,985,,,5,https://maps.app.goo.gl/j3dvRUsLK9SdWfk48
N,"Pvr  Inox Aurus Mall, Guwahati, Assam",CINEMA000002,"Located on Inox Aurus Mall, Guwahati, Assam","Advertising in Pvr Inox Aurus Mall, Guwahati, Assam |Excellent Publicity","Advertising Rate for Pvr Inox Aurus Mall, Guwahati, Assam",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,183,,,4,https://maps.app.goo.gl/GcDD7WkVVvckJeDX8
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,"Located on Inox Ncs Square Mall, Adabari, Guwahati, Assam","Advertising in Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam |Excellent Publicity","Advertising Rate for Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,688,,,3,https://maps.app.goo.gl/gyTJ7rN1o69DcnXK7
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,"Located on Inox Abs Mall, Jorhat, Assam","Advertising in Pvr, Inox Abs Mall, Jorhat, Assam |Excellent Publicity","Advertising Rate for Pvr, Inox Abs Mall, Jorhat, Assam",,pvrcinemalogo.webp,1,1,Pvr-inox,2,Silver,Tier 3,277,,,2,https://maps.app.goo.gl/8JjLdPqkpkJ1VD9P8
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,"Located on Pvr, TheCinema, Guntur, Andhra Pradesh","Advertising in Pvr-TheCinema, Guntur, Andhra Pradesh | Excellent Publicity","Advertising Rate for Pvr-TheCinema, Guntur, Andhra Pradesh",,pvrcinemalogo.webp,1,1,Pvr-inox,5,Gold,Tier 2,849,,,5,https://share.google/CeKfp8FeW6JQKfRYb
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,"Located on Pvr Inox Ambuja, Patna, Bihar","Advertising in Pvr Inox Ambuja, Patna,Bihar  | Excellent Publicity","Advertising Rate for Pvr Inox Ambuja, Patna",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 2,864,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Ambuja%2C+Patna+%2C+PATNA%2C+BIHAR
N,"Pvr Inox Ashok, Patna,Bihar",CINEMA000007,"Located on Pvr Inox Ashok, Patna,Bihar","Advertising in Pvr Inox Ashok, Patna,Bihar| Excellent Publicity","Advertising Rate forPvr Inox Ashok, Patna,Bihar",,pvrcinemalogo.webp,1,1,Pvr-inox,3,Gold,Tier 2,568,,,3,https://www.google.com/maps/search/?api=1&query=Pvr+Inox+Ashok%2C+Patna+%2C+PATNA%2C+BIHAR
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,"Located on Pvr Bhilai, Bhilai, Chhattisgarh","Advertising in Pvr Bhilai, Bhilai, Chhattisgarh| Excellent Publicity","Advertising Rate for Pvr Bhilai, Bhilai, Chhattisgarh",,pvrcinemalogo.webp,1,1,Pvr-inox,4,Gold,Tier 3,798,,,4,https://www.google.com/maps/search/?api=1&query=Pvr+Bhilai%2C+BHILAI%2C+CHHATTISGARH
