,Product Lookup,,Location Filters,,,,,
Delete,Product Name,Product Sku,Type,Zone,State,City,Locality,PIN Code
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Zone || State || City || Locality,Only string value,Only string value,Only string value,Only string value,Only number value
* Required,* Required,* Required,* Required,---,---,---,---,---
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,locality,North East,Assam,Guwahati,Christian Basti,781005
N,"Pvr  Inox Aurus Mall, Guwahati, Assam",CINEMA000002,locality,North East,Assam,Guwahati,,781006
N,"Pvr, Inox NCS Square Mall, Adabari, Guwahati , Assam",CINEMA000003,locality,North East,Assam,Guwahati,Adabari,781014
N,"Pvr, Inox Abs Mall, Jorhat, Assam",CINEMA000004,locality,North East,Assam,Jorhat,,785001
N,"Pvr-TheCinema, Guntur, Andhra Pradesh",CINEMA000005,locality,South,Andhra Pradesh,Guntur,,522001
N,"Pvr Inox Ambuja, Patna,Bihar",CINEMA000006,locality,East,Bihar,Patna,,801103
N,"Pvr Inox Ashok, Patna,Bihar",CINEMA000007,locality,East,Bihar,Patna,,800001
N,"Pvr Bhilai, Bhilai, Chhattisgarh",CINEMA000008,locality,Central,Chhattisgarh,Bhilai,,490020
N,"Pvr Bilaspur - Magneto Mall, Bilaspur, Chhattisgarh",CINEMA000009,locality,Central,Chhattisgarh,Bilaspur,,495001
N,"Cinemax City Centre Mall - Raipur, Raipur, Chhattisgarh",CINEMA000010,locality,Central,Chhattisgarh,Raipur,,492001
N,"Pvr Inox Ambuja City Centre Raipur, Raipur, Chhattisgarh",CINEMA000011,locality,Central,Chhattisgarh,Raipur,,492014
N,"Pvr Inox City Mall Raipur, Raipur, Chhattisgarh",CINEMA000012,locality,Central,Chhattisgarh,Raipur,,492001
N,ccc,CINEMA000013,locality,Central,Chhattisgarh,Raipur,,492001
N,"Pvr Bokaro, Bokaro, Jharkhand",CINEMA000014,locality,East,Jharkhand,Bokaro,,827003
N,"Pvr Inox Prabhatam Grand Mall,Dhanbad, Jharkhand",CINEMA000015,locality,East,Jharkhand,Dhanbad,,826010
N,"Pvr Inox Shriram, Dhanbad, Jharkhand",CINEMA000016,locality,East,Jharkhand,Dhanbad,,826007
N,"Pvr Nucleus Mall-Ranchi, Ranchi, Jharkhand",CINEMA000017,locality,East,Jharkhand,Ranchi,,834001
N,"Pvr Inox Bmc Bhawani Mall,  Bhubaneshwar, Odisha",CINEMA000018,locality,East,Odisha,Bhubaneshwar,,751007
N,"Pvr Inox Dn Regalia, Patrapara, Bhubaneshwar, Odisha",CINEMA000019,locality,East,Odisha,Bhubaneshwar,Patrapara,751019
N,"Pvr Inox Symphony Mall, Rudrapur, Bhubaneswar, Odisha",CINEMA000020,locality,East,Odisha,Bhubaneswar,Rudrapur,751035
N,"Pvr Utkal Galleria Bhubneshwar, Bhubaneswar, Odisha",CINEMA000021,locality,East,Odisha,Bhubaneswar,,751009
N,"Pvr Inox Sgbl Square Mall, Cuttack, Odisha",CINEMA000022,locality,East,Odisha,Cuttack,,753009
N,"Pvr Forum Galleria Mall, Rourkela, Odisha",CINEMA000023,locality,East,Odisha,Rourkela,,769012
N,"Pvr Plutone Rourkela Odisha, Rourkela, Odisha",CINEMA000024,locality,East,Odisha,Rourkela,,769009
N,"Pvr Inox Burdwan Arcade, Burdwan, West Bengal",CINEMA000025,locality,East,West Bengal,Burdwan,,713103
N,"Pvr Inox Rangoli Mall Belur, Howrah, West Bengal",CINEMA000026,locality,East,West Bengal,Howrah,,711202
N,"Cinemax Mani Square Mall - Kolkata, Kolkata, West Bengal",CINEMA000027,locality,East,West Bengal,Kolkata,,700054
N,"Pvr Avani Kolkatta, Kolkata, West Bengal",CINEMA000028,locality,East,West Bengal,Kolkata,,711102
N,"Pvr Down Town Mall, Kolkata, West Bengal",CINEMA000029,locality,East,West Bengal,Kolkata,,700163
N,"Pvr Inox City Centre 2, Rajarhat, Kolkata, West Bengal",CINEMA000030,locality,East,West Bengal,Kolkata,Rajarhat,700136
N,"Pvr Inox City Centre, Salt Lake, Kolkata, West Bengal",CINEMA000031,locality,East,West Bengal,Kolkata,Salt Lake,700064
N,"Pvr Inox Forum Mall, Elgin Road, Kolkata, West Bengal",CINEMA000032,locality,East,West Bengal,Kolkata,Elgin Road,700020
N,"Pvr Inox Hind, Kolkata, West Bengal",CINEMA000033,locality,East,West Bengal,Kolkata,,700013
N,"Pvr Inox Metro, Esplanade, Kolkata, West Bengal",CINEMA000034,locality,East,West Bengal,Kolkata,Esplanade,700013
N,"Pvr Inox Metropolis Mall, Hiland Park, Kolkata, West Bengal",CINEMA000035,locality,East,West Bengal,Kolkata,Hiland Park,700094
N,"Pvr Inox Quest Mall, Kolkata, West Bengal",CINEMA000036,locality,East,West Bengal,Kolkata,,700017
N,"Pvr Inox South City Mall, Kolkata, West Bengal",CINEMA000037,locality,East,West Bengal,Kolkata,,700068
N,"Pvr Inox Star Mall, Madhyamgram, Kolkata, West Bengal",CINEMA000038,locality,East,West Bengal,Kolkata,Madhyamgram,700129
N,"Pvr Inox Swabhumi, Kolkata, West Bengal",CINEMA000039,locality,East,West Bengal,Kolkata,,700054
N,"Pvr Jessore Rd Kolkatta, Kolkata, West Bengal",CINEMA000040,locality,East,West Bengal,Kolkata,,700055
N,"Pvr Inox Ambuja City Centre, Matigara, Siliguri, West Bengal",CINEMA000041,locality,East,West Bengal,Siliguri,Matigara,734010
N,"Pvr Inox Orbit Mall, Vega Circle Sevoke Road, Siliguri, West Bengal",CINEMA000042,locality,East,West Bengal,Siliguri,Vega Circle Sevoke Road,734008
N,"Pvr Inox Acropolis Siliguri, Siliguri, West Bengal",CINEMA000043,locality,East,West Bengal,Siliguri,,734001
N,"Pvr Inox Westpoint Mall Gangtok, Gangtok, Sikkim",CINEMA000044,locality,North East,Sikkim,Gangtok,,737101
N,"Pvr Centra - Chandigarh, Chandigarh, Chandigarh",CINEMA000045,locality,North,Chandigarh,Chandigarh,,160002
N,"Pvr Dlf City Centre Mall Chandigarh, Chandigarh, Chandigarh",CINEMA000046,locality,North,Chandigarh,Chandigarh,,160101
N,"Pvr Elante Mall - Chandigarh, Chandigarh, Chandigarh",CINEMA000047,locality,North,Chandigarh,Chandigarh,,160002
N,"Pvr - Subhash Nagar, New Delhi, Delhi",CINEMA000048,locality,North,Delhi,New Delhi,,110018
N,"Pvr 3C'S - Lajpat Nagar, New Delhi, Delhi",CINEMA000049,locality,North,Delhi,New Delhi,,110024
N,"Pvr Anupam - Saket, New Delhi, Delhi",CINEMA000050,locality,North,Delhi,New Delhi,,110017
N,"Pvr Chanakya, New Delhi, Delhi",CINEMA000051,locality,North,Delhi,New Delhi,,110021
N,"Pvr- Dlf City Centre Mall, Shalimar Bagh, New Delhi, Delhi",CINEMA000052,locality,North,Delhi,New Delhi,Shalimar Bagh,110088
N,"Pvr Icon-  Dlf Promenade Mall,Vasant Kunj, New Delhi, Delhi",CINEMA000053,locality,North,Delhi,New Delhi,Vasant Kunj,110070
N,"Pvr Inox Janak Place, New Delhi, Delhi",CINEMA000054,locality,North,Delhi,New Delhi,,110058
N,"Pvr Inox Nehru Place, New Delhi, Delhi",CINEMA000055,locality,North,Delhi,New Delhi,,110019
N,"Pvr Inox Odeon Connaught Place, New Delhi, Delhi",CINEMA000056,locality,North,Delhi,New Delhi,,110001
N,"Pvr Inox Pacific- Jasola, New Delhi, Delhi",CINEMA000057,locality,North,Delhi,New Delhi,,110020
N,"Pvr Inox Paras Delhi, New Delhi, Delhi",CINEMA000058,locality,North,Delhi,New Delhi,,110019
N,"Pvr Inox Patel Nagar, New Delhi, Delhi",CINEMA000059,locality,North,Delhi,New Delhi,,110008
N,"Pvr Inox Vishal Enclave Rajouri Garden, New Delhi, Delhi",CINEMA000060,locality,North,Delhi,New Delhi,,110027
N,"Pvr Naraina, New Delhi, Delhi",CINEMA000061,locality,North,Delhi,New Delhi,,110028
N,"Pvr Pacific Mall, Dwarka, New Delhi, Delhi",CINEMA000062,locality,North,Delhi,New Delhi,Dwarka,110078
N,"Pvr Plaza , New Delhi, Delhi",CINEMA000063,locality,North,Delhi,New Delhi,,110001
N,"Pvr Prashant Vihar, New Delhi, Delhi",CINEMA000064,locality,North,Delhi,New Delhi,,110085
N,"Pvr Priya , New Delhi, Delhi",CINEMA000065,locality,North,Delhi,New Delhi,,110057
N,"Pvr Rivoli, New Delhi, Delhi",CINEMA000066,locality,North,Delhi,New Delhi,,110001
N,"Pvr Saket Select City Walk, New Delhi, Delhi",CINEMA000067,locality,North,Delhi,New Delhi,,110017
N,"Pvr Sangam, New Delhi, Delhi",CINEMA000068,locality,North,Delhi,New Delhi,,110022
N,"Pvr Vegas Mall, Dwarka, New Delhi, Delhi",CINEMA000069,locality,North,Delhi,New Delhi,Dwarka,110078
N,"Pvr Vikaspuri, New Delhi, Delhi",CINEMA000070,locality,North,Delhi,New Delhi,,110018
N,"Pvr Inox Ef-3 Mall, Faridabad, Haryana",CINEMA000071,locality,North,Haryana,Faridabad,,121002
N,"Pvr Inox Interiorz Crown Mall, Faridabad, Haryana",CINEMA000072,locality,North,Haryana,Faridabad,,121003
N,"Pvr Mall Of Faridabad, Faridabad, Haryana",CINEMA000073,locality,North,Haryana,Faridabad,,121001
N,"Pvr Pebble Downtown, Faridabad, Faridabad, Haryana",CINEMA000074,locality,North,Haryana,Faridabad,,121007
N,"Pvr Utsav - Piyush Mall, Faridabad, Faridabad, Haryana",CINEMA000075,locality,North,Haryana,Faridabad,,121001
N,"Pvr - Dlf Mega Mall, Gurgaon, Gurgaon, Haryana",CINEMA000076,locality,North,Haryana,Gurgaon,,122002
N,"Pvr Ambience Mall-Gurgaon , Gurgaon, Haryana",CINEMA000077,locality,North,Haryana,Gurgaon,,122010
N,"Pvr- Dlf City Centre, Gurgaon, Gurgaon, Haryana",CINEMA000078,locality,North,Haryana,Gurgaon,,122009
N,"Pvr Elan Mercado 80 Gurgaon, Gurgaon, Haryana",CINEMA000079,locality,North,Haryana,Gurgaon,,122012
N,"Pvr Elan Town Centre Gurgaon, Gurgaon, Haryana",CINEMA000080,locality,North,Haryana,Gurgaon,,122101
N,"Pvr Inox Aipl Joy Street Mall, Gurgaon, Haryana",CINEMA000081,locality,North,Haryana,Gurgaon,,122101
N,"Pvr Inox Iris Broadway, Gurgaon, Haryana",CINEMA000082,locality,North,Haryana,Gurgaon,,122012
N,"Pvr Inox Sapphire 83 Mall, Gurgaon, Haryana",CINEMA000083,locality,North,Haryana,Gurgaon,,122012
N,"Pvr Inox Sapphire 90 Mall, Gurgaon, Haryana",CINEMA000084,locality,North,Haryana,Gurgaon,,122505
N,"Pvr Inox Worldmark Mall, Gurgaon, Haryana",CINEMA000085,locality,North,Haryana,Gurgaon,,122101
N,"Pvr Mgf Mall - Gurgaon, Gurgaon, Haryana",CINEMA000086,locality,North,Haryana,Gurgaon,,122009
N,"Pvr Inox Nh-22 Mall, Kalka, Haryana",CINEMA000087,locality,North,Haryana,Kalka,,134105
N,"Pvr Fun City Mall, Panipat, Haryana",CINEMA000088,locality,North,Haryana,Panipat,,132103
N,"Pvr City Mall, Yamuna Nagar, Yamuna Nagar, Haryana",CINEMA000089,locality,North,Haryana,Yamuna Nagar,,135001
N,"Pvr Jammu, Jammu, J&K",CINEMA000090,locality,North,Jammu and Kashmir,Jammu,,180001
N,"Pvr Inox Srinagar, Srinagar, J&K",CINEMA000091,locality,North,Jammu and Kashmir,Srinagar,,
N,"Pvr Inox Trilium Mall, Amritsar, Punjab",CINEMA000092,locality,North,Punjab,Amritsar,,143001
N,"Pvr Sct Amritsar, Amritsar, Punjab",CINEMA000093,locality,North,Punjab,Amritsar,,143006
N,"Pvr - Jalandhar-Mbd, Jalandhar, Punjab",CINEMA000094,locality,North,Punjab,Jalandhar,,144001
N,"Pvr Curo Mall-Jalandhar, Jalandhar, Punjab",CINEMA000095,locality,North,Punjab,Jalandhar,,144005
N,"Pvr Friends Cinema, Jalandhar, Jalandhar, Punjab",CINEMA000096,locality,North,Punjab,Jalandhar,,144001
N,"Pvr Inox Reliance Mall, Jalandhar, Jalandhar, Punjab",CINEMA000097,locality,North,Punjab,Jalandhar,,144001
N,"Pvr The Celebration Mall Khanna, Khanna, Punjab",CINEMA000098,locality,North,Punjab,Khanna,,141401
N,"Pvr Flamez Mall - Ludhiana, Ludhiana, Punjab",CINEMA000099,locality,North,Punjab,Ludhiana,,141001
N,"Pvr Pavilion Mall - Ludhiana, Ludhiana, Punjab",CINEMA000100,locality,North,Punjab,Ludhiana,,141001
N,"Pvr Silver Arc Mall - Ludhiana, Ludhiana, Punjab",CINEMA000101,locality,North,Punjab,Ludhiana,,141001
N,"Pvr - Mohali, Mohali, Punjab",CINEMA000102,locality,North,Punjab,Mohali,,140307
N,"Pvr Cp67 Mall Mohali, Mohali, Punjab",CINEMA000103,locality,North,Punjab,Mohali,,160062
N,"Pvr Pp Mall Mohali, Mohali, Punjab",CINEMA000104,locality,North,Punjab,Mohali,,140308
N,"Pvr Pathankot, Pathankot, Punjab",CINEMA000105,locality,North,Punjab,Pathankot,,145001
N,"Pvr - Vrc Mall, Patiala, Patiala, Punjab",CINEMA000106,locality,North,Punjab,Patiala,,147002
N,"Pvr Cosmo Mall Zirakpur, Punjab, Zirakpur, Punjab",CINEMA000107,locality,North,Punjab,Zirakpur,,140603
N,"Pvr Inox Dhillon Plaza, Zirakpur, Punjab",CINEMA000108,locality,North,Punjab,Zirakpur,,140603
N,"Pvr Allahabad, Allahabad, Up",CINEMA000109,locality,North,Uttar Pradesh,Allahabad,,
N,"Pvr Phoenix United Mall -Bareilly, Bareilly, Up",CINEMA000110,locality,North,Uttar Pradesh,Bareilly,,243002
N,"Pvr Edm - Kaushambi, Ghaziabad, Up",CINEMA000111,locality,North,Uttar Pradesh,Ghaziabad,,201010
N,"Pvr Inox Jam Shipra, Ghaziabad, Up",CINEMA000112,locality,North,Uttar Pradesh,Ghaziabad,,201014
N,"Pvr Mahagun-Kaushambi, Ghaziabad, Up",CINEMA000113,locality,North,Uttar Pradesh,Ghaziabad,,201019
N,"Pvr Opulent -Ghaziabad, Ghaziabad, Up",CINEMA000114,locality,North,Uttar Pradesh,Ghaziabad,,201001
N,"Pvr Vvip-Ghaziabad, Ghaziabad, Up",CINEMA000115,locality,North,Uttar Pradesh,Ghaziabad,,201003
N,"Pvr Inox City Mall Gorakhpur, Gorakhpur, Up",CINEMA000116,locality,North,Uttar Pradesh,Gorakhpur,,273001
N,"Pvr Inox Orion Mall, Mohaddipur, Gorakhpur, Up",CINEMA000117,locality,North,Uttar Pradesh,Gorakhpur,Mohaddipur,273008
N,"Pvr Venus Multiplex - Gorakhpur, Gorakhpur, Up",CINEMA000118,locality,North,Uttar Pradesh,Gorakhpur,,273001
N,"Pvr Inox Omaxe Mall, Greater Noida, Up",CINEMA000119,locality,North,Uttar Pradesh,Greater Noida,,201310
N,"Cinemax South X Mall - Kanpur, Kanpur, Up",CINEMA000120,locality,North,Uttar Pradesh,Kanpur,,208023
N,"Pvr Deep Cinema - Kanpur, Kanpur, Up",CINEMA000121,locality,North,Uttar Pradesh,Kanpur,,208014
N,"Pvr Inox Z Square, Kanpur, Up",CINEMA000122,locality,North,Uttar Pradesh,Kanpur,,208001
N,"Pvr Inox Crown Mall, Faizabad Road, Lucknow, Up",CINEMA000123,locality,North,Uttar Pradesh,Lucknow,Faizabad Road,226028
N,"Pvr Inox Lucknow Emerald Mall, Lucknow, Up",CINEMA000124,locality,North,Uttar Pradesh,Lucknow,,226012
N,"Pvr Inox Phoenix Palassio Mall, Gomti Nagar, Lucknow, Up",CINEMA000125,locality,North,Uttar Pradesh,Lucknow,Gomti Nagar,226002
N,"Pvr Inox Umrao Mall, Nishant Ganj, Lucknow, Up",CINEMA000126,locality,North,Uttar Pradesh,Lucknow,Nishant Ganj,226006
N,"Pvr Phoenix Mall - Lucknow, Lucknow, Up",CINEMA000127,locality,North,Uttar Pradesh,Lucknow,,226012
N,"Pvr Sahara Ganj - Lucknow, Lucknow, Up",CINEMA000128,locality,North,Uttar Pradesh,Lucknow,,226001
N,"Pvr Sahu Hazratganj, Lucknow, Lucknow, Up",CINEMA000129,locality,North,Uttar Pradesh,Lucknow,,226001
