,Price Option Lookup,,,,Pricing Unit,,,,,
Delete,Product Name,Product Sku,Price Option Name,Price Option Sku,Unit Name,Code,Step,Minimum,Maximum,Sort Order
Y || N,Max 191 characters,"Valid alphanumeric value without space, Unique sku",Max 191 characters (with in Product unique),Valid alphanumeric value without space (with in Product unique),Only string value (with in Price option unique),Only string value (with in Product unique),Only number value,Only number value,Only number value,Only number value
* Required,* Required,* Required,* Required,* Required,* Required,* Required,* Required,* Required,---,---
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN1-ADFILM,CINEMA000001SCREEN1-ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN1-ADFILM,CINEMA000001SCREEN1-ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-1SLIDE,CINEMA000001SCREEN-1SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-1SLIDE,CINEMA000001SCREEN-1SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-2ADFILM,CINEMA000001SCREEN-2ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-2ADFILM,CINEMA000001SCREEN-2ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-2SLIDE,CINEMA000001SCREEN-2SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-2SLIDE,CINEMA000001SCREEN-2SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-3ADFILM,CINEMA000001SCREEN-3ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-3ADFILM,CINEMA000001SCREEN-3ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-3SLIDE,CINEMA000001SCREEN-3SLIDE,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-3SLIDE,CINEMA000001SCREEN-3SLIDE,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-4ADFILM,CINEMA000001SCREEN-4ADFILM,#Second(s),SECOND,5,10,156,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-4ADFILM,CINEMA000001SCREEN-4ADFILM,#Week(S),WEEK,1,1,90,0
N,"Pvr City Centre Mall - Guwahati, Christian Basti, Guwahati, Assam",CINEMA000001,SCREEN-4SLIDE,CINEMA000001SCREEN-4SLIDE,#Second(s),SECOND,5,10,156,0
